Host,Provider,IP (External),IP (Internal),Open Ports,HTTP Status,HTTP Title,Risk Rating,Findings,Technologies,WAF,DNS Records
akamai-apigateway-procuretopayapi.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-procuretopayapi.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-procuretopayapi.tesla.com.edgekey.net"
akamai-apigateway-profileapi.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-profileapi.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-profileapi.tesla.com.edgekey.net"
akamai-apigateway-qa-captiveunderwriting.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-qa-captiveunderwriting.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-qa-captiveunderwriting.tesla.com.edgekey.net"
akamai-apigateway-reassignments-api.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://www.tesla.com/,,N/A,,,,"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-reassignments-api.tesla.com.edgekey.net"
akamai-apigateway-recycling-stg.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5bc::700",,"80, 443",301 -> https://akamai-apigateway-recycling-stg.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5bc::700, CNAME:akamai-apigateway-recycling-stg.tesla.com.edgekey.net"
akamai-apigateway-recycling.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-recycling.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-recycling.tesla.com.edgekey.net"
akamai-apigateway-repair-api-stg.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5bc::700",,"80, 443",301 -> https://akamai-apigateway-repair-api-stg.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5bc::700, CNAME:akamai-apigateway-repair-api.tesla.com.edgekey.net"
akamai-apigateway-repair-api.tesla.com,cdn-akamai,"104.80.228.227, 2.17.212.94, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-repair-api.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:2.17.212.94, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-repair-api.tesla.com.edgekey.net"
akamai-apigateway-sales-prd.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-sales-prd.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-sales-prd.tesla.com.edgekey.net"
akamai-apigateway-sales-stg.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-sales-stg.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-sdlc-apps.tesla.com.edgekey.net"
akamai-apigateway-shipmentplanningapi.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-shipmentplanningapi.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-shipmentplanningapi.tesla.com.edgekey.net"
akamai-apigateway-stg-captiveunderwriting.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-stg-captiveunderwriting.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-stg-captiveunderwriting.tesla.com.edgekey.net"
akamai-apigateway-stg-deliveryopsapi.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-stg-deliveryopsapi.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-stg-deliveryopsapi.tesla.com.edgekey.net"
akamai-apigateway-stg-deliveryopsapi1.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-stg-deliveryopsapi1.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-stg-deliveryopsapi1.tesla.com.edgekey.net"
